StudentId,EnrollmentYear,Education,Major
1115,2018,Undergraduate,Biological Science
1108,2018,Undergraduate,Biological Science
1192,2018,Undergraduate,Urban and Rural Planning
1193,2018,Undergraduate,Urban and Rural Planning
1293,2018,Undergraduate,World History
1324,2018,Undergraduate,Archaeology (Heritage Architecture)
1582,2018,Undergraduate,Risk Management and Insurance
1599,2018,Undergraduate,Biological Science
1651,2018,Undergraduate,Biological Science
1656,2018,Undergraduate,Biological Science
1663,2018,Undergraduate,Biological Science
1672,2018,Undergraduate,Biotechnology
1680,2018,Undergraduate,Psychology
1686,2018,Undergraduate,Biological Science
1694,2018,Undergraduate,Biological Science
2255,2019,Undergraduate,Chemistry
2259,2019,Undergraduate,Chemistry
2382,2019,Undergraduate,Biological Science
2383,2019,Undergraduate,Biotechnology
2384,2019,Undergraduate,Biotechnology
2385,2019,Undergraduate,Biotechnology
2386,2019,Undergraduate,Biological Science
2387,2019,Undergraduate,Biological Science
2388,2019,Undergraduate,Ecology
2389,2019,Undergraduate,Ecology
2390,2019,Undergraduate,Ecology
2391,2019,Undergraduate,Biological Science
2392,2019,Undergraduate,Biotechnology
2393,2019,Undergraduate,Intelligence Science and Technology
2394,2019,Undergraduate,Biological Science
2395,2019,Undergraduate,Biological Science
2396,2019,Undergraduate,Biological Science
2397,2019,Undergraduate,Biotechnology
2398,2019,Undergraduate,Biological Science
2399,2019,Undergraduate,Biological Science
2401,2019,Undergraduate,Biological Science
2402,2019,Undergraduate,Biological Science
2403,2019,Undergraduate,Biological Science
2404,2019,Undergraduate,Ecology
2405,2019,Undergraduate,Biological Science
2406,2019,Undergraduate,Biological Science
2407,2019,Undergraduate,Biological Science
2408,2019,Undergraduate,Ecology
2409,2019,Undergraduate,Biological Science
2410,2019,Undergraduate,Biological Science
2411,2019,Undergraduate,Biological Science
2413,2019,Undergraduate,Biotechnology
2414,2019,Undergraduate,Biological Science
2415,2019,Undergraduate,Biotechnology
2416,2019,Undergraduate,Biological Science
2417,2019,Undergraduate,Biological Science
2418,2019,Undergraduate,Biological Science
2419,2019,Undergraduate,Biological Science
2420,2019,Undergraduate,Biological Science
2421,2019,Undergraduate,Ecology
2422,2019,Undergraduate,Biological Science
2423,2019,Undergraduate,Biological Science
2425,2019,Undergraduate,Biotechnology
2427,2019,Undergraduate,Intelligence Science and Technology
2428,2019,Undergraduate,Biological Science
2429,2019,Undergraduate,Biological Science
2430,2019,Undergraduate,Biological Science
2431,2019,Undergraduate,Biological Science
2434,2019,Undergraduate,Biological Science
2435,2019,Undergraduate,Biological Science
2436,2019,Undergraduate,Biotechnology
2437,2019,Undergraduate,Biological Science
2438,2019,Undergraduate,Biological Science
2439,2019,Undergraduate,Biological Science
2440,2019,Undergraduate,Biological Science
2441,2019,Undergraduate,Biological Science
2442,2019,Undergraduate,Biological Science
2443,2019,Undergraduate,Biological Science
2444,2019,Undergraduate,Biological Science
2445,2019,Undergraduate,Biological Science
2446,2019,Undergraduate,Biological Science
2447,2019,Undergraduate,Biological Science
2448,2019,Undergraduate,Biological Science
2852,2019,Undergraduate,Environmental Science and Engineering
2854,2019,Undergraduate,Environmental Science and Engineering
2855,2019,Undergraduate,Environmental Science and Engineering
2857,2019,Undergraduate,Environmental Science and Engineering
2858,2019,Undergraduate,Environmental Science and Engineering
2859,2019,Undergraduate,Environmental Science and Engineering
2861,2019,Undergraduate,Environmental Science and Engineering
2862,2019,Undergraduate,Environmental Science and Engineering
2863,2019,Undergraduate,Environmental Science and Engineering
2866,2019,Undergraduate,Environmental Science and Engineering
2867,2019,Undergraduate,Environmental Science and Engineering
2868,2019,Undergraduate,Environmental Science and Engineering
2954,2019,Undergraduate,Biological Science
2961,2019,Undergraduate,Law
3477,2019,Undergraduate,Human Geography and Urban-Rural Planning
3492,2019,Undergraduate,Economics (National Development)
3543,2019,Undergraduate,International Economics and Trade
3568,2019,Undergraduate,Biological Science
3569,2019,Undergraduate,Data Science and Big Data Technology
3574,2019,Undergraduate,Yuanpei Program
3583,2019,Undergraduate,Biological Science
3586,2019,Undergraduate,Finance
3594,2019,Undergraduate,Environmental Sciences
3598,2019,Undergraduate,Risk Management and Insurance
3608,2019,Undergraduate,Psychology
3628,2019,Undergraduate,Psychology
3639,2019,Undergraduate,Bioinformatics
3648,2019,Undergraduate,Biological Science
3664,2019,Undergraduate,Yuanpei Program
3684,2019,Undergraduate,Biotechnology
3690,2019,Undergraduate,Psychology
3696,2019,Undergraduate,Yuanpei Program
3768,2019,Undergraduate,Biotechnology
3769,2019,Undergraduate,Biotechnology
3770,2019,Undergraduate,Biological Science
3772,2019,Undergraduate,Psychology
3877,2019,Undergraduate,Biological Science
3878,2019,Undergraduate,Paleontology
3920,2019,,
3921,2019,,
4568,2000,Undergraduate,
9,2014,Undergraduate,Chinese Language and Literature
31,2015,Undergraduate,Urban and Rural Planning
35,2015,Undergraduate,Media Studies
52,2015,Undergraduate,English Language and Literature
157,2016,Undergraduate,Psychology
160,2016,Undergraduate,Journalism
178,2016,Undergraduate,World History
180,2016,Undergraduate,Archaeology
181,2016,Undergraduate,Archaeology
187,2016,Undergraduate,International Politics (International Political Economy)
191,2016,Undergraduate,International Politics (International Political Economy)
223,2016,Undergraduate,Law
243,2016,Undergraduate,Sociology
256,2016,Undergraduate,City Management
259,2016,Undergraduate,City Management
261,2016,Undergraduate,Public Administration
263,2016,Undergraduate,Public Administration
306,2016,Undergraduate,English Language and Literature
315,2016,Undergraduate,Russian Language and Literature
319,2016,Undergraduate,French Language and Literature
338,2016,Undergraduate,Japanese Language and Literature
374,2016,Undergraduate,
375,2016,Undergraduate,
377,2016,Undergraduate,
378,2016,Undergraduate,
379,2016,Undergraduate,
382,2016,Undergraduate,
383,2016,Undergraduate,
417,2017,Undergraduate,Finance
616,2017,Undergraduate,Philosophy
632,2017,Undergraduate,Public Finance
652,2017,Undergraduate,Law
688,2017,Undergraduate,Public Finance
714,2017,Undergraduate,Economics
762,2017,Undergraduate,Spanish Language and Literature
770,2017,Undergraduate,Korean Language and Literature
772,2017,Undergraduate,Hindi Language and Literature
774,2017,Undergraduate,Urdu Language and Literature
837,2017,Undergraduate,
838,2017,Undergraduate,
839,2017,Undergraduate,
840,2017,Undergraduate,
844,2017,Undergraduate,
846,2017,Undergraduate,
848,2017,Undergraduate,
849,2017,Undergraduate,
850,2017,Undergraduate,
851,2017,Undergraduate,
853,2017,Undergraduate,
854,2017,Undergraduate,
1010,2018,Undergraduate,Geographical Information Science
1180,2018,Undergraduate,Environmental Sciences
1182,2018,Undergraduate,Environmental Sciences
1216,2018,Undergraduate,Advertising
1277,2018,Undergraduate,History
1279,2018,Undergraduate,History
1343,2018,Undergraduate,International Politics (International Political Economy)
1424,2018,Undergraduate,International Politics (International Political Economy)
1495,2018,Undergraduate,Law
1502,2018,Undergraduate,Law
1503,2018,Undergraduate,Law
1506,2018,Undergraduate,Law
1507,2018,Undergraduate,Law
1509,2018,Undergraduate,Law
1510,2018,Undergraduate,Law
1513,2018,Undergraduate,Law
1515,2018,Undergraduate,Law
1518,2018,Undergraduate,Law
1536,2018,Undergraduate,Economics
1565,2018,Undergraduate,Law
1567,2018,Undergraduate,"Philosophy, Politics and Economics"
1578,2018,Undergraduate,Psychology
1594,2018,Undergraduate,"Philosophy, Politics and Economics"
1641,2018,Undergraduate,Russian Language and Literature
1644,2018,Undergraduate,German Language and Literature
1659,2018,Undergraduate,Spanish Language and Literature
1660,2018,Undergraduate,Spanish Language and Literature
1662,2018,Undergraduate,Spanish Language and Literature
1678,2018,Undergraduate,Korean Language and Literature
1684,2018,Undergraduate,Thai Language and Literature
1688,2018,Undergraduate,Finance
1761,2018,Undergraduate,Yuanpei Program
1786,2018,Undergraduate,
1787,2018,Undergraduate,
1788,2018,Undergraduate,
1789,2018,Undergraduate,
1790,2018,Undergraduate,
1791,2018,Undergraduate,
1792,2018,Undergraduate,
1793,2018,Undergraduate,
1794,2018,Undergraduate,
1795,2018,Undergraduate,
1798,2018,Undergraduate,
1801,2018,Undergraduate,
1802,2018,Undergraduate,
1803,2018,Undergraduate,
1804,2018,Undergraduate,
1805,2018,Undergraduate,
1806,2018,Undergraduate,
1807,2018,Undergraduate,
1808,2018,Undergraduate,
1809,2018,Undergraduate,
1810,2018,Undergraduate,
1811,2018,Undergraduate,
1812,2018,Undergraduate,
1813,2018,Undergraduate,
1814,2018,Undergraduate,
1815,2018,Undergraduate,
1816,2018,Undergraduate,
1817,2018,Undergraduate,
1818,2018,Undergraduate,
1819,2018,Undergraduate,
1821,2018,Undergraduate,
1822,2018,Undergraduate,
1823,2018,Undergraduate,
1824,2018,Undergraduate,
2785,2019,Undergraduate,Environmental Sciences
2825,2019,Undergraduate,Computer Science and Technology
2865,2019,Undergraduate,Economics
2449,2019,Undergraduate,Biological Science
2450,2019,Undergraduate,Biological Science
2451,2019,Undergraduate,Intelligence Science and Technology
2452,2019,Undergraduate,Biological Science
