,SVDpp,NormalPredictor,BaselineOnly,KNNBasic,KNNWithMeans,KNNWithZScore,KNNBaseline,SVD,NMF,SlopeOne,CoClustering
MSE,1.6669912586165676,3.496585976530139,1.6976754703377661,1.5988160267513574,1.7366598053100843,1.7338416278506785,1.570248959587408,1.6423958354984507,1.9376218668098772,1.8475508380018368,2.030580074696691
RMSE,1.2907309257139759,1.869467400273205,1.3026582735887926,1.2639160463364965,1.3173699558166394,1.3163322360036387,1.2526140633966116,1.2812093712793406,1.3915238677955455,1.358959563085008,1.424577231880575
F1@10,0.5986789166927338,0.5986463963985443,0.5986789166927338,0.5986789166927338,0.5986789166927338,0.5986789166927338,0.5986789166927338,0.5986789166927338,0.5986463963985443,0.5986789166927338,0.5986789166927338
HitRate@10,0.6771575272083282,0.6771575272083282,0.6771575272083282,0.6771575272083282,0.6771575272083282,0.6771575272083282,0.6771575272083282,0.6771575272083282,0.6771575272083282,0.6771575272083282,0.6771575272083282
MAP@10,0.6379680097103119,0.6015734195709228,0.6334823250770569,0.6400337278842926,0.6393211483955383,0.6402905523777008,0.6399550259113311,0.6375577211380005,0.6328875541687011,0.6350475668907165,0.6286711156368255
MRR@10,0.6427151918411255,0.6053801059722901,0.637159138917923,0.6436214983463288,0.6434576451778412,0.6441084802150726,0.6439727783203125,0.6404618680477142,0.6370591878890991,0.6389955580234528,0.6323697984218597
NDCG@10,0.6497999787330627,0.6225628793239594,0.6463737607002258,0.65117427110672,0.6507365584373475,0.6513753175735474,0.6511940360069275,0.6492438971996307,0.6459742486476898,0.6473512887954712,0.6429634690284729
Precision@10,0.5366035997867584,0.5365702688694001,0.5366035997867584,0.5366035997867584,0.5366035997867584,0.5366035997867584,0.5366035997867584,0.5366035997867584,0.5365702688694001,0.5366035997867584,0.5366035997867584
Recall@10,0.6771272242069244,0.6770969212055207,0.6771272242069244,0.6771272242069244,0.6771272242069244,0.6771272242069244,0.6771272242069244,0.6771272242069244,0.6770969212055207,0.6771272242069244,0.6771272242069244
ExplainedVariance,0.19071479375548356,-0.6951280355453491,0.17612297681039113,0.2239935205637334,0.15752233880385264,0.15877822039757858,0.2379256628771153,0.2029818607475476,0.06427739804296724,0.10336486411660714,0.01354464292526245
R2,0.1892031986283343,-0.700715696811676,0.17449031536311885,0.22291702035947383,0.1558526517819771,0.15724376563465667,0.23669661160279976,0.2013747681095744,0.05822434770726829,0.10165576613286013,0.0124078631401062
