,SVDpp,NormalPredictor,BaselineOnly,KNNBasic,KNNWithMeans,KNNWithZScore,KNNBaseline,SVD,NMF,SlopeOne,CoClustering
MSE,5.402160842152211,9.72776330997009,5.0321899425314385,5.820179916511986,5.521028153259134,5.617761293908244,5.083641811468576,5.153674403438815,12.220402905162572,5.53626647838544,5.8408454856720455
RMSE,2.3241621767460012,3.1188643181563496,2.2431670867290814,2.412332092642354,2.3496340819758816,2.3701143191529614,2.254568808014618,2.270112064975176,3.49573118656087,2.352858536837835,2.416678148621158
F1@10,0.772404819726944,0.7719535827636719,0.7725604057312012,0.7725975930690765,0.7723920524120331,0.7724279344081879,0.7726234793663025,0.772430682182312,0.7723698854446411,0.7724334418773651,0.7724219858646393
HitRate@10,0.8062706410884857,0.806241762638092,0.8062706410884857,0.8062706410884857,0.8062706410884857,0.8062706410884857,0.8062706410884857,0.8062706410884857,0.8062706410884857,0.8062706410884857,0.8062408626079559
MAP@10,0.7810555219650268,0.7744314491748809,0.7831053614616394,0.7827526748180389,0.7812541365623474,0.7812152564525604,0.7832741439342499,0.7820118367671967,0.7781880557537079,0.7816996574401855,0.7810275912284851
MRR@10,0.7848256647586822,0.7781491816043854,0.7867310523986817,0.7858984529972076,0.7842392385005951,0.7841870963573456,0.7869832992553711,0.7856241643428803,0.7816226124763489,0.7850887537002563,0.7843330860137939
NDCG@10,0.7882248878479003,0.7834546864032745,0.7896901428699493,0.7893175840377807,0.7882166028022766,0.7881623327732086,0.7898108065128326,0.7888181388378144,0.786078006029129,0.7886204063892365,0.7880950987339019
Precision@10,0.7532760202884674,0.7527571797370911,0.7534667611122131,0.7535075008869171,0.7532753765583038,0.7533046543598175,0.7535400211811065,0.7533163070678711,0.7532310068607331,0.7533190369606018,0.7532844960689544
Recall@10,0.7925349712371826,0.7921592414379119,0.7926516234874725,0.7926846325397492,0.7925089180469513,0.7925520002841949,0.7927031636238098,0.7925449669361114,0.7925113081932068,0.7925476372241974,0.7925618827342987
ExplainedVariance,0.12997085845837827,-0.5208707809448242,0.18951221359880838,0.08300767828543834,0.11064446505122236,0.09505897682729735,0.18485123088543168,0.169802684197693,-0.043978026190252775,0.10826347721919678,0.05911415855268315
R2,0.12963325068644815,-0.5674538731575012,0.18925558932267983,0.062410432149613025,0.11044371597325134,0.09486623483657655,0.18097990439952572,0.16963290950204238,-0.9693047741596882,0.1080336465300868,0.05890062260431302
